Initial battlefield conditions 

Canvas size:- 1000.00 
Battleship type:- U , Position:- (644.88 , 43.94) , Max shell speed:- 100.00 

ID    Type   Position (x,y)     ImpactPower  Min Angle    Angle Range  V_min        V_max       
0     EE     (945.93, 203.06)    0.04         12.13        70.00        23.57        49.12       
1     EA     (564.80, 305.45)    0.08         1.26         20.00        45.83        100.00      
2     EA     (874.51, 543.07)    0.08         19.06        20.00        45.21        100.00      
3     EB     (365.46, 792.92)    0.06         29.53        30.00        38.77        86.17       
4     EA     (83.84, 750.68)    0.08         7.69         20.00        40.09        100.00      
5     EC     (274.20, 110.26)    0.07         15.54        25.00        19.78        83.95       
6     EB     (79.93, 160.46)    0.06         1.69         30.00        0.15         4.64        
7     EE     (56.09, 360.69)    0.04         21.76        70.00        17.52        38.52       
8     EA     (914.79, 679.16)    0.08         27.11        20.00        10.33        100.00      
9     EB     (564.58, 964.18)    0.06         21.23        30.00        22.66        42.38       
