Initial battlefield conditions 

Canvas size:- 1000.00 
Battleship type:- U , Position:- (929.09 , 642.47) , Max shell speed:- 100.00 

ID    Type   Position (x,y)     ImpactPower  Min Angle    Angle Range  V_min        V_max       
0     EA     (589.99, 479.93)    0.08         12.31        20.00        10.40        120.00      
1     EB     (874.31, 953.65)    0.06         10.92        30.00        38.66        71.64       
2     EA     (753.97, 174.24)    0.08         2.05         20.00        4.65         120.00      
3     EB     (959.23, 129.13)    0.06         6.29         30.00        28.97        45.72       
4     EE     (429.92, 655.58)    0.04         8.24         70.00        9.07         39.47       
5     EB     (798.80, 995.09)    0.06         17.54        30.00        48.84        58.30       
6     EC     (752.94, 248.24)    0.07         14.25        25.00        45.76        88.58       
7     EB     (775.00, 878.83)    0.06         23.58        30.00        27.70        49.96       
8     EC     (528.62, 468.39)    0.07         15.27        25.00        25.87        73.81       
9     ED     (945.98, 896.84)    0.05         14.01        50.00        46.06        77.17       
