Initial battlefield conditions 

Canvas size:- 1000.00 
Battleship type:- U , Position:- (136.23 , 974.14) , Max shell speed:- 100.00 

ID    Type   Position (x,y)     ImpactPower  Min Angle    Angle Range  V_min        V_max       
0     EE     (694.86, 315.92)    0.04         23.44        70.00        27.32        56.21       
1     EA     (232.53, 310.66)    0.08         25.38        20.00        16.81        120.00      
2     ED     (982.95, 870.43)    0.05         5.25         50.00        33.39        61.48       
3     EB     (883.49, 565.85)    0.06         16.99        30.00        4.19         56.46       
4     EB     (126.23, 921.36)    0.06         8.08         30.00        42.27        84.07       
5     EE     (43.94, 441.82)    0.04         26.86        70.00        21.82        32.07       
6     EB     (205.75, 175.48)    0.06         25.18        30.00        8.27         44.77       
7     EE     (184.27, 917.34)    0.04         28.03        70.00        28.64        60.27       
8     ED     (689.72, 793.93)    0.05         27.31        50.00        0.48         57.74       
9     EE     (80.74, 225.41)    0.04         2.98         70.00        42.24        86.50       
