Initial battlefield conditions 

Canvas size:- 1000.00 
Battleship type:- U , Position:- (286.11 , 132.76) , Max shell speed:- 100.00 

ID    Type   Position (x,y)     ImpactPower  Min Angle    Angle Range  V_min        V_max       
0     EA     (975.94, 281.18)    0.08         26.33        20.00        9.95         120.00      
1     ED     (967.63, 503.83)    0.05         26.75        50.00        46.33        77.06       
2     EE     (603.35, 827.37)    0.04         5.49         70.00        43.62        67.85       
3     EC     (536.07, 742.78)    0.07         20.66        25.00        40.45        64.02       
4     EB     (165.15, 287.04)    0.06         7.43         30.00        7.23         60.20       
5     EC     (328.81, 618.70)    0.07         12.59        25.00        40.04        86.61       
6     EC     (536.57, 595.55)    0.07         18.84        25.00        33.42        44.89       
7     EA     (981.66, 625.35)    0.08         0.66         20.00        17.77        120.00      
8     ED     (871.30, 220.24)    0.05         12.34        50.00        44.52        68.19       
9     EA     (861.85, 760.68)    0.08         18.48        20.00        39.60        120.00      
