Initial battlefield conditions 

Canvas size:- 1000.00 
Battleship type:- U , Position:- (615.89 , 535.63) , Max shell speed:- 100.00 

ID    Type   Position (x,y)     ImpactPower  Min Angle    Angle Range  V_min        V_max       
0     EC     (410.43, 85.74)    0.07         24.38        25.00        40.67        95.19       
1     EE     (0.87, 900.36)    0.04         22.57        70.00        37.52        91.24       
2     ED     (552.79, 463.21)    0.05         24.22        50.00        5.94         28.53       
3     EE     (700.55, 809.18)    0.04         12.64        70.00        21.35        47.09       
4     ED     (720.63, 26.13)    0.05         0.47         50.00        21.40        24.86       
5     EB     (69.64, 341.28)    0.06         27.93        30.00        42.84        96.71       
6     ED     (738.99, 998.38)    0.05         29.93        50.00        34.74        73.59       
7     ED     (717.53, 539.67)    0.05         29.61        50.00        20.13        89.28       
8     EE     (384.74, 379.91)    0.04         20.38        70.00        14.36        22.62       
9     ED     (140.04, 607.86)    0.05         26.62        50.00        5.60         18.65       
