Initial battlefield conditions 

Canvas size:- 1000.00 
Battleship type:- U , Position:- (222.17 , 238.53) , Max shell speed:- 100.00, Reload time: 5.00s 

ID    Type   Position (x,y)     ImpactPower  Min Angle    Angle Range  V_min        V_max       
0     EA     (465.73, 415.02)    0.08         6.14         20.00        38.85        120.00      
1     ED     (552.71, 610.10)    0.05         24.76        50.00        18.47        27.96       
2     EE     (384.25, 266.41)    0.04         23.87        70.00        21.23        76.95       
3     ED     (980.52, 896.60)    0.05         7.09         50.00        24.83        71.52       
4     EC     (225.63, 613.33)    0.07         4.61         25.00        23.50        85.52       
5     EC     (652.54, 628.86)    0.07         25.56        25.00        32.14        39.51       
6     EC     (436.94, 388.40)    0.07         25.07        25.00        46.69        75.69       
7     EB     (977.96, 489.84)    0.06         3.17         30.00        16.98        67.29       
8     EE     (181.87, 818.70)    0.04         25.15        70.00        42.12        84.89       
9     EC     (273.02, 654.34)    0.07         12.86        25.00        44.63        72.64       
