Part 2B Initial Battlefield Conditions

Canvas size: 10000.00
Battleship Type: U | Position: (7447.79, 984.27) | Max Velocity: 100.00 | Reload Time T_B^q: 5.00s

ID    Type   Position (x,y)     ImpactPower  T_E (s)    Min Angle    Angle Range  V_min      V_max     
0     EC     (5441.97, 355.67)    0.07         3.50       13.05        25.00        3.21       23.53     
1     EB     (8689.99, 3199.28)    0.06         4.00       15.17        30.00        17.23      93.37     
2     EE     (6339.36, 7976.48)    0.04         6.00       0.48         70.00        23.11      76.88     
3     EA     (4158.53, 4199.70)    0.08         3.00       24.88        20.00        45.61      120.00    
4     EB     (9743.60, 9523.88)    0.06         4.00       12.25        30.00        48.95      52.61     
5     EC     (1540.72, 1149.81)    0.07         3.50       1.52         25.00        13.71      84.32     
6     EA     (6953.81, 6696.03)    0.08         3.00       9.75         20.00        18.72      120.00    
7     EE     (8415.88, 312.08)    0.04         6.00       0.46         70.00        29.47      33.12     
8     EC     (5433.70, 6580.32)    0.07         3.50       24.87        25.00        37.55      78.97     
9     EA     (3675.85, 570.54)    0.08         3.00       2.34         20.00        28.57      120.00    
